"Description","Start Time","End Time","Timestep","Iterations","Courant Number","Gravitational Constant","Number of Particles","mass_1","qx_1","qy_1","qz_1","px_1","py_1","pz_1","mass_2","qx_2","qy_2","qz_2","px_2","py_2","pz_2"
"CMScatter_b_43",0,8.26434301081844866275787353515625e7,8264.343010818449329235590994358062744141,0,0.001,1,2,0,-4.132171505409224331378936767578125e7,-413.2171505409224323557282332330942153931,0,0.5,0,0,0,4.132171505409224331378936767578125e7,413.2171505409224323557282332330942153931,0,-0.5,0,0
"CMScatter_b_44",0,9.180284740645484626293182373046875e7,9180.284740645485726417973637580871582031,0,0.001,1,2,0,-4.5901423703227423131465911865234375e7,-459.0142370322741953714285045862197875977,0,0.5,0,0,0,4.5901423703227423131465911865234375e7,459.0142370322741953714285045862197875977,0,-0.5,0,0
"CMScatter_b_45",0,1.019774080153795778751373291015625e8,10197.74080153795875958167016506195068359,0,0.001,1,2,0,-5.098870400768978893756866455078125e7,-509.8870400768979038730321917682886123657,0,0.5,0,0,0,5.098870400768978893756866455078125e7,509.8870400768979038730321917682886123657,0,-0.5,0,0
"CMScatter_b_46",0,1.1327962083237080276012420654296875e8,11327.96208323708015086594969034194946289,0,0.001,1,2,0,-5.6639810416185401380062103271484375e7,-566.3981041618540075432974845170974731445,0,0.5,0,0,0,5.6639810416185401380062103271484375e7,566.3981041618540075432974845170974731445,0,-0.5,0,0
"CMScatter_b_47",0,1.2583446417848174273967742919921875e8,12583.44641784817576990462839603424072266,0,0.001,1,2,0,-6.2917232089240871369838714599609375e7,-629.1723208924087202831287868320941925049,0,0.5,0,0,0,6.2917232089240871369838714599609375e7,629.1723208924087202831287868320941925049,0,-0.5,0,0
"CMScatter_b_48",0,1.3978076779156017303466796875e8,13978.07677915601743734441697597503662109,0,0.001,1,2,0,-6.9890383895780086517333984375e7,-698.9038389578008718672208487987518310547,0,0.5,0,0,0,6.9890383895780086517333984375e7,698.9038389578008718672208487987518310547,0,-0.5,0,0
"CMScatter_b_49",0,1.552727479864713847637176513671875e8,15527.27479864713859569747000932693481445,0,0.001,1,2,0,-7.763637399323569238185882568359375e7,-776.3637399323569070475059561431407928467,0,0.5,0,0,0,7.763637399323569238185882568359375e7,776.3637399323569070475059561431407928467,0,-0.5,0,0
"CMScatter_b_50",0,1.724817129579823315143585205078125e8,17248.17129579823449603281915187835693359,0,0.001,1,2,0,-8.624085647899116575717926025390625e7,-862.4085647899116793269058689475059509277,0,0.5,0,0,0,8.624085647899116575717926025390625e7,862.4085647899116793269058689475059509277,0,-0.5,0,0
"CMScatter_b_51",0,1.91597957083311617374420166015625e8,19159.795708331163041293621063232421875,0,0.001,1,2,0,-9.57989785416558086872100830078125e7,-957.989785416558106589945964515209197998,0,0.5,0,0,0,9.57989785416558086872100830078125e7,957.989785416558106589945964515209197998,0,-0.5,0,0
"CMScatter_b_52",0,2.128328651712849438190460205078125e8,21283.28651712849386967718601226806640625,0,0.001,1,2,0,-1.0641643258564247190952301025390625e8,-1064.164325856424738958594389259815216064,0,0.5,0,0,0,1.0641643258564247190952301025390625e8,1064.164325856424738958594389259815216064,0,-0.5,0,0
"CMScatter_b_53",0,2.364212499265935420989990234375e8,23642.12499265935548464767634868621826172,0,0.001,1,2,0,-1.1821062496329677104949951171875e8,-1182.106249632967774232383817434310913086,0,0.5,0,0,0,1.1821062496329677104949951171875e8,1182.106249632967774232383817434310913086,0,-0.5,0,0
"CMScatter_b_54",0,2.626239484765159785747528076171875e8,26262.39484765159795642830431461334228516,0,0.001,1,2,0,-1.3131197423825798928737640380859375e8,-1313.11974238257994329615030437707901001,0,0.5,0,0,0,1.3131197423825798928737640380859375e8,1313.11974238257994329615030437707901001,0,-0.5,0,0
"CMScatter_b_55",0,2.91730706672139823436737060546875e8,29173.07066721398223307915031909942626953,0,0.001,1,2,0,-1.458653533360699117183685302734375e8,-1458.653533360699157128692604601383209229,0,0.5,0,0,0,1.458653533360699117183685302734375e8,1458.653533360699157128692604601383209229,0,-0.5,0,0
"CMScatter_b_56",0,3.24063383058291018009185791015625e8,32406.33830582910377415828406810760498047,0,0.001,1,2,0,-1.620316915291455090045928955078125e8,-1620.316915291455188707914203405380249023,0,0.5,0,0,0,1.620316915291455090045928955078125e8,1620.316915291455188707914203405380249023,0,-0.5,0,0
"CMScatter_b_57",0,3.59979507941231310367584228515625e8,35997.95079412313498323783278465270996094,0,0.001,1,2,0,-1.799897539706156551837921142578125e8,-1799.897539706156521788216196000576019287,0,0.5,0,0,0,1.799897539706156551837921142578125e8,1799.897539706156521788216196000576019287,0,-0.5,0,0
"CMScatter_b_58",0,3.9987623690980815887451171875e8,39987.62369098082126583904027938842773438,0,0.001,1,2,0,-1.99938118454904079437255859375e8,-1999.381184549040881393011659383773803711,0,0.5,0,0,0,1.99938118454904079437255859375e8,1999.381184549040881393011659383773803711,0,-0.5,0,0
"CMScatter_b_59",0,4.4419474252754914760589599609375e8,44419.47425275491696083918213844299316406,0,0.001,1,2,0,-2.22097371263774573802947998046875e8,-2220.973712637745848041959106922149658203,0,0.5,0,0,0,2.22097371263774573802947998046875e8,2220.973712637745848041959106922149658203,0,-0.5,0,0
"CMScatter_b_60",0,4.934250927584340572357177734375e8,49342.50927584341116016730666160583496094,0,0.001,1,2,0,-2.4671254637921702861785888671875e8,-2467.125463792170194210484623908996582031,0,0.5,0,0,0,2.4671254637921702861785888671875e8,2467.125463792170194210484623908996582031,0,-0.5,0,0
"CMScatter_b_61",0,5.4811167007130682468414306640625e8,54811.167007130687125027179718017578125,0,0.001,1,2,0,-2.74055835035653412342071533203125e8,-2740.558350356533992453478276729583740234,0,0.5,0,0,0,2.74055835035653412342071533203125e8,2740.558350356533992453478276729583740234,0,-0.5,0,0
"CMScatter_b_62",0,6.088591911466426849365234375e8,60885.91911466426972765475511550903320312,0,0.001,1,2,0,-3.0442959557332134246826171875e8,-3044.295955733213304483797401189804077148,0,0.5,0,0,0,3.0442959557332134246826171875e8,3044.295955733213304483797401189804077148,0,-0.5,0,0
"CMScatter_b_63",0,6.7633939375075948238372802734375e8,67633.93937507594819180667400360107421875,0,0.001,1,2,0,-3.38169696875379741191864013671875e8,-3381.696968753797136741923168301582336426,0,0.5,0,0,0,3.38169696875379741191864013671875e8,3381.696968753797136741923168301582336426,0,-0.5,0,0
"CMScatter_b_64",0,7.512984647200183868408203125e8,75129.84647200183826498687267303466796875,0,0.001,1,2,0,-3.7564923236000919342041015625e8,-3756.492323600091822299873456358909606934,0,0.5,0,0,0,3.7564923236000919342041015625e8,3756.492323600091822299873456358909606934,0,-0.5,0,0
"CMScatter_b_65",0,8.3456529119264328479766845703125e8,83456.5291192643344402313232421875,0,0.001,1,2,0,-4.17282645596321642398834228515625e8,-4172.826455963216176314745098352432250977,0,0.5,0,0,0,4.17282645596321642398834228515625e8,4172.826455963216176314745098352432250977,0,-0.5,0,0
"CMScatter_b_66",0,9.270606263291370868682861328125e8,92706.06263291371578816324472427368164063,0,0.001,1,2,0,-4.6353031316456854343414306640625e8,-4635.303131645685425610281527042388916016,0,0.5,0,0,0,4.6353031316456854343414306640625e8,4635.303131645685425610281527042388916016,0,-0.5,0,0
"CMScatter_b_67",0,1.02980727087461221218109130859375e9,102980.7270874612295301631093025207519531,0,0.001,1,2,0,-5.14903635437306106090545654296875e8,-5149.036354373060930811334401369094848633,0,0.5,0,0,0,5.14903635437306106090545654296875e8,5149.036354373060930811334401369094848633,0,-0.5,0,0
"CMScatter_b_68",0,1.1439413831493079662322998046875e9,114394.1383149307948770001530647277832031,0,0.001,1,2,0,-5.7197069157465398311614990234375e8,-5719.706915746539380052126944065093994141,0,0.5,0,0,0,5.7197069157465398311614990234375e8,5719.706915746539380052126944065093994141,0,-0.5,0,0
"CMScatter_b_69",0,1.270725042531658172607421875e9,127072.5042531658255029469728469848632812,0,0.001,1,2,0,-6.353625212658290863037109375e8,-6353.625212658291275147348642349243164062,0,0.5,0,0,0,6.353625212658290863037109375e8,6353.625212658291275147348642349243164062,0,-0.5,0,0
"CMScatter_b_70",0,1.411560205359164714813232421875e9,141156.0205359164683613926172256469726563,0,0.001,1,2,0,-7.057801026795823574066162109375e8,-7057.801026795823418069630861282348632812,0,0.5,0,0,0,7.057801026795823574066162109375e8,7057.801026795823418069630861282348632812,0,-0.5,0,0
"CMScatter_b_71",0,1.5680042075695273876190185546875e9,156800.4207569527497980743646621704101562,0,0.001,1,2,0,-7.8400210378476369380950927734375e8,-7840.021037847636762307956814765930175781,0,0.5,0,0,0,7.8400210378476369380950927734375e8,7840.021037847636762307956814765930175781,0,-0.5,0,0
"CMScatter_b_72",0,1.7417869855081055164337158203125e9,174178.6985508105717599391937255859375,0,0.001,1,2,0,-8.7089349275405275821685791015625e8,-8708.934927540527496603317558765411376953,0,0.5,0,0,0,8.7089349275405275821685791015625e8,8708.934927540527496603317558765411376953,0,-0.5,0,0
